Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.8277589678764343,0.4958794414997101,0.06720595806837082,0.047788750380277634,inf,inf,0.16359561681747437,0.12733082473278046
2,0.6095674633979797,0.49592044949531555,0.05426190793514252,0.047118548303842545,inf,inf,0.14522522687911987,0.13268478214740753
3,0.5225061178207397,0.4970479905605316,0.04455374926328659,0.04101452976465225,inf,inf,0.12741771340370178,0.12157787382602692
4,0.5168089270591736,0.4980258047580719,0.044546712189912796,0.03980803117156029,inf,inf,0.12800636887550354,0.11814603954553604
5,0.48418954014778137,0.498625248670578,0.0406506285071373,0.0510871559381485,inf,inf,0.1206217110157013,0.1355077028274536
6,0.48505762219429016,0.49755623936653137,0.04225420951843262,0.037306733429431915,inf,inf,0.12417450547218323,0.11256009340286255
7,0.4885351359844208,0.4967379570007324,0.04463718459010124,0.035898540169000626,inf,inf,0.12906235456466675,0.10908829420804977
8,0.4558838903903961,0.49838894605636597,0.03884672373533249,0.036610789597034454,inf,inf,0.11710833013057709,0.11217695474624634
9,0.4452343285083771,0.49889329075813293,0.03737447410821915,0.034713685512542725,inf,inf,0.11406458169221878,0.10825316607952118
10,0.45308780670166016,0.4969698190689087,0.042188744992017746,0.038594651967287064,inf,inf,0.12617388367652893,0.1169717013835907
11,0.43258920311927795,0.49946147203445435,0.036082882434129715,0.033186327666044235,inf,inf,0.11134237051010132,0.10437621921300888
12,0.4300418198108673,0.5002075433731079,0.03470645844936371,0.03237190097570419,inf,inf,0.10836480557918549,0.10315252840518951
13,0.42934712767601013,0.4997147023677826,0.03613617271184921,0.03189651668071747,inf,inf,0.11314830929040909,0.10206958651542664
14,0.4264134466648102,0.50050288438797,0.03617274761199951,0.035602059215307236,inf,inf,0.11381010711193085,0.11415606737136841
15,0.4294601380825043,0.4995993375778198,0.037214431911706924,0.033758003264665604,inf,inf,0.11644167453050613,0.10742820054292679
16,0.44386982917785645,0.49749141931533813,0.04361063241958618,0.03941645845770836,inf,inf,0.13064715266227722,0.12389828264713287
17,0.41115665435791016,0.49981001019477844,0.0343795046210289,0.03249578922986984,inf,inf,0.10909879952669144,0.10379575937986374
18,0.41605186462402344,0.49967917799949646,0.03647181764245033,0.032032523304224014,inf,inf,0.11469375342130661,0.10402760654687881
19,0.4074658751487732,0.49897217750549316,0.03461674600839615,0.03131266310811043,inf,inf,0.11029838025569916,0.10123347491025925
20,0.3961329758167267,0.5012475252151489,0.030949437990784645,0.029858019202947617,inf,inf,0.10082247108221054,0.09752156585454941
21,0.39245450496673584,0.5020546317100525,0.02955876663327217,0.02893908880650997,inf,inf,0.09737095236778259,0.09646507352590561
22,0.3928724229335785,0.5015285611152649,0.029769357293844223,0.028904378414154053,inf,inf,0.0975450798869133,0.09630002826452255
23,0.39626190066337585,0.501788854598999,0.0310768224298954,0.030507728457450867,inf,inf,0.10138198733329773,0.10145501792430878
24,0.39214184880256653,0.5018192529678345,0.029554488137364388,0.028475144878029823,inf,inf,0.09745466709136963,0.09460535645484924
25,0.39115822315216064,0.5022211074829102,0.029128046706318855,0.0281203705817461,inf,inf,0.09640190005302429,0.0930638536810875
26,0.3937748968601227,0.5017125606536865,0.029998712241649628,0.030901774764060974,inf,inf,0.09862015396356583,0.10135916620492935
27,0.38883155584335327,0.502557635307312,0.028363458812236786,0.027713755145668983,inf,inf,0.09391584992408752,0.09214901179075241
28,0.3877637982368469,0.5027426481246948,0.028041139245033264,0.027552595362067223,inf,inf,0.09328112751245499,0.09167460352182388
29,0.3864157497882843,0.5028581619262695,0.027616266161203384,0.027421491220593452,inf,inf,0.09212648868560791,0.09139727801084518
30,0.386776864528656,0.5026454925537109,0.027736235409975052,0.027631396427750587,inf,inf,0.09256844222545624,0.09256113320589066
