Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.9439306855201721,0.4952991306781769,0.07743747532367706,0.05454132705926895,inf,inf,0.18148495256900787,0.14297951757907867
2,0.6787030696868896,0.49572160840034485,0.0558355376124382,0.05764045566320419,inf,inf,0.1460036337375641,0.15318606793880463
3,0.6378266215324402,0.49610090255737305,0.05123457312583923,0.04571309685707092,inf,inf,0.13556598126888275,0.12411421537399292
4,0.606046736240387,0.4950452446937561,0.0534302182495594,0.0465632863342762,inf,inf,0.14399181306362152,0.1294485628604889
5,0.5614020824432373,0.49664074182510376,0.04684806615114212,0.042374495416879654,inf,inf,0.13018256425857544,0.12071241438388824
6,0.5270146131515503,0.4980226457118988,0.04118536412715912,0.03913320228457451,inf,inf,0.11689061671495438,0.11387638002634048
7,0.5120158791542053,0.49802109599113464,0.041547246277332306,0.042938169091939926,inf,inf,0.11962217837572098,0.12391293048858643
8,0.4942648112773895,0.4986819624900818,0.0382157601416111,0.036457594484090805,inf,inf,0.11149588227272034,0.10747237503528595
9,0.4969974756240845,0.4982885718345642,0.04044443368911743,0.03985640034079552,inf,inf,0.11846023797988892,0.11615364253520966
10,0.4866212010383606,0.4988633096218109,0.038286298513412476,0.042644623667001724,inf,inf,0.112969309091568,0.12614162266254425
11,0.4910636246204376,0.4980534315109253,0.04010368138551712,0.037863440811634064,inf,inf,0.11759349703788757,0.11206315457820892
12,0.48367491364479065,0.49896395206451416,0.03773679584264755,0.03571956604719162,inf,inf,0.11124010384082794,0.10568835586309433
13,0.4769134521484375,0.49992114305496216,0.035453975200653076,0.037635449320077896,inf,inf,0.10520581156015396,0.1151328757405281
14,0.4927331805229187,0.4980500042438507,0.041832536458969116,0.04423505440354347,inf,inf,0.12037067860364914,0.13170742988586426
15,0.4762004613876343,0.49837154150009155,0.03817787766456604,0.03591226786375046,inf,inf,0.11326087266206741,0.10711195319890976
16,0.4627869129180908,0.49922823905944824,0.035428956151008606,0.035090819001197815,inf,inf,0.10595755279064178,0.10654350370168686
17,0.4509417712688446,0.4996768534183502,0.034683164209127426,0.03524695709347725,inf,inf,0.1052885502576828,0.10768945515155792
18,0.4482743740081787,0.500045657157898,0.03378904238343239,0.03325558453798294,inf,inf,0.10277143120765686,0.10156873613595963
19,0.44780391454696655,0.5004155039787292,0.03360823914408684,0.03286322206258774,inf,inf,0.10242129117250443,0.10101165622472763
20,0.44496792554855347,0.5008432269096375,0.0325595997273922,0.032213225960731506,inf,inf,0.09995254874229431,0.09921186417341232
21,0.4494806230068207,0.5003246665000916,0.03400434926152229,0.03298394754528999,inf,inf,0.10401090234518051,0.10157107561826706
22,0.4448968768119812,0.5012737512588501,0.032483987510204315,0.032250624150037766,inf,inf,0.10033922642469406,0.10029444098472595
23,0.4430258870124817,0.5015117526054382,0.03182339668273926,0.03178921341896057,inf,inf,0.09857966750860214,0.09933394938707352
24,0.4425995349884033,0.5017317533493042,0.03166217356920242,0.03162877634167671,inf,inf,0.09812816977500916,0.09831608086824417
25,0.4456421434879303,0.5012304186820984,0.03278404474258423,0.03165207803249359,inf,inf,0.10179726779460907,0.09869266301393509
26,0.44516223669052124,0.5012574195861816,0.03265612572431564,0.031830329447984695,inf,inf,0.10146154463291168,0.0987153947353363
27,0.44505569338798523,0.5009384751319885,0.03258224204182625,0.03230450302362442,inf,inf,0.1010003611445427,0.10026227682828903
28,0.4422752261161804,0.5016298890113831,0.03167443349957466,0.03164772316813469,inf,inf,0.09827203303575516,0.09846080839633942
29,0.44163084030151367,0.5016075372695923,0.03146656975150108,0.031316958367824554,inf,inf,0.09774905443191528,0.09744413942098618
30,0.4410093426704407,0.5017594695091248,0.031268853694200516,0.03128793463110924,inf,inf,0.09725391864776611,0.09760865569114685
