Epoch,Loss,Accuracy,MSE
1,0.20296399295330048,0.47719424962997437,0.05170862376689911
2,0.014957125298678875,0.499826043844223,0.00037826746120117605
3,0.010728941299021244,0.4998260736465454,3.2582571293460205e-05
4,0.010269957594573498,0.4998260736465454,1.3706523532164283e-05
5,0.009818985126912594,0.4998260736465454,1.0045365343103185e-05
