Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.8505516648292542,0.4950620234012604,0.0721469521522522,0.05145339295268059,inf,inf,0.17545343935489655,0.13865239918231964
2,0.5802533626556396,0.4956822097301483,0.051789458841085434,0.05179652199149132,inf,inf,0.14129479229450226,0.146489217877388
3,0.5365588665008545,0.4972398579120636,0.046231530606746674,0.06351467221975327,inf,inf,0.13087333738803864,0.16879867017269135
4,0.5682803988456726,0.4942004978656769,0.060690317302942276,0.04579569026827812,inf,inf,0.16601689159870148,0.13181374967098236
5,0.4883410334587097,0.49748048186302185,0.0417313426733017,0.040841422975063324,inf,inf,0.12147682905197144,0.12292283773422241
6,0.4779924154281616,0.49830904603004456,0.04146410524845123,0.04481981694698334,inf,inf,0.12248461693525314,0.13546964526176453
7,0.4545557200908661,0.4983563721179962,0.039319753646850586,0.0491483099758625,inf,inf,0.11801353096961975,0.1377430111169815
8,0.44831451773643494,0.49785134196281433,0.03905102238059044,0.03532068803906441,inf,inf,0.11786497384309769,0.10907552391290665
9,0.44363537430763245,0.4988195300102234,0.03752100095152855,0.03635013848543167,inf,inf,0.11432380974292755,0.11165282130241394
10,0.4403594732284546,0.4985499382019043,0.03648252412676811,0.0370795913040638,inf,inf,0.11118929833173752,0.11267493665218353
11,0.45917314291000366,0.497079998254776,0.043431930243968964,0.04191756248474121,inf,inf,0.12861350178718567,0.12639781832695007
12,0.4396970272064209,0.4985646903514862,0.037183016538619995,0.04398927837610245,inf,inf,0.11299062520265579,0.13114160299301147
13,0.42775028944015503,0.49879807233810425,0.03510139137506485,0.03351559117436409,inf,inf,0.10795871168375015,0.10363544523715973
14,0.4243902862071991,0.4995453357696533,0.03413189575076103,0.03336097300052643,inf,inf,0.10559262335300446,0.10351144522428513
15,0.4254479706287384,0.4993213415145874,0.034332018345594406,0.035101763904094696,inf,inf,0.10646377503871918,0.10872510820627213
16,0.4236621558666229,0.49993884563446045,0.03371572121977806,0.03260309621691704,inf,inf,0.10482180118560791,0.10204955190420151
17,0.43102315068244934,0.49890926480293274,0.036017242819070816,0.03317832201719284,inf,inf,0.11131082475185394,0.10449568927288055
18,0.42832139134407043,0.5000123977661133,0.034712061285972595,0.03283005207777023,inf,inf,0.10804199427366257,0.10371629893779755
19,0.4239215552806854,0.500633955001831,0.033552274107933044,0.03382543474435806,inf,inf,0.10582166910171509,0.10666313767433167
20,0.41902410984039307,0.5011847615242004,0.03205111250281334,0.03192267194390297,inf,inf,0.10156138986349106,0.10126052796840668
21,0.4174440801143646,0.5009918212890625,0.03152359649538994,0.030906163156032562,inf,inf,0.09986992180347443,0.09829157590866089
22,0.41515031456947327,0.5014862418174744,0.03066876344382763,0.030323950573801994,inf,inf,0.09746195375919342,0.09686289727687836
23,0.4157998561859131,0.5017807483673096,0.030887940898537636,0.030447468161582947,inf,inf,0.09847649931907654,0.09743542224168777
24,0.41393664479255676,0.5018140077590942,0.030231475830078125,0.030092399567365646,inf,inf,0.09652333706617355,0.09661354124546051
25,0.41337496042251587,0.501904308795929,0.030034681782126427,0.02993500977754593,inf,inf,0.09593445807695389,0.0960322916507721
26,0.4130846858024597,0.5018174052238464,0.029940353706479073,0.029793746769428253,inf,inf,0.09585057944059372,0.09544594585895538
27,0.41288384795188904,0.5017951130867004,0.029869472607970238,0.029962200671434402,inf,inf,0.09563536196947098,0.09608860313892365
28,0.41313570737838745,0.5017389059066772,0.029956774786114693,0.030423074960708618,inf,inf,0.09599233418703079,0.09828939288854599
29,0.4126611351966858,0.5019060969352722,0.029800478368997574,0.02973899617791176,inf,inf,0.0956028401851654,0.09580523520708084
30,0.41215595602989197,0.5020306706428528,0.029644910246133804,0.02960442565381527,inf,inf,0.09504993259906769,0.09505029022693634
