Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.9222828149795532,0.49593397974967957,0.07047516107559204,0.05092572793364525,inf,inf,0.16532984375953674,0.12794697284698486
2,0.7128689289093018,0.49768397212028503,0.05642972141504288,0.04538053646683693,inf,inf,0.14537541568279266,0.12130647152662277
3,0.6219456791877747,0.4996001124382019,0.04355273023247719,0.042737748473882675,inf,inf,0.11775845289230347,0.11776107549667358
4,0.6126307249069214,0.4994463622570038,0.044552017003297806,0.04475817829370499,inf,inf,0.12120578438043594,0.12231487035751343
5,0.5930512547492981,0.49971500039100647,0.04263398051261902,0.04446844384074211,inf,inf,0.11803049594163895,0.12242098152637482
6,0.5737313032150269,0.501072347164154,0.039562471210956573,0.03770698234438896,inf,inf,0.11127614229917526,0.10710769146680832
7,0.5570383071899414,0.5008351802825928,0.03983689472079277,0.038622356951236725,inf,inf,0.11326774209737778,0.11200722306966782
8,0.5274004936218262,0.501427948474884,0.03696877881884575,0.03667066991329193,inf,inf,0.10762863606214523,0.10557340830564499
9,0.5168641805648804,0.49872589111328125,0.042363788932561874,0.03553811460733414,inf,inf,0.12183909863233566,0.10703340172767639
10,0.48912161588668823,0.5008672475814819,0.03711104393005371,0.034645527601242065,inf,inf,0.11102697253227234,0.1061646118760109
11,0.47718122601509094,0.49945348501205444,0.038168881088495255,0.03677704557776451,inf,inf,0.11389215290546417,0.11264975368976593
12,0.4674905240535736,0.5011948347091675,0.03554864972829819,0.03381709009408951,inf,inf,0.10892422497272491,0.10510160773992538
13,0.46501708030700684,0.5012009739875793,0.03520146384835243,0.040246449410915375,inf,inf,0.10789859294891357,0.1226116195321083
14,0.4728420376777649,0.5004544854164124,0.03849315643310547,0.03632737696170807,inf,inf,0.11682670563459396,0.11094550788402557
15,0.4621310234069824,0.500080943107605,0.03691593557596207,0.04331707954406738,inf,inf,0.112452931702137,0.12856344878673553
16,0.45184046030044556,0.5009196400642395,0.03422066941857338,0.03263392671942711,inf,inf,0.10554807633161545,0.10120780020952225
17,0.4487755298614502,0.5010104775428772,0.03325986489653587,0.03366314247250557,inf,inf,0.10314474254846573,0.10498794168233871
18,0.44969987869262695,0.5011551976203918,0.03357740119099617,0.03142506256699562,inf,inf,0.10419835150241852,0.09859968721866608
19,0.45002245903015137,0.5000787377357483,0.035030774772167206,0.03675953298807144,inf,inf,0.10825572907924652,0.113106369972229
20,0.43878939747810364,0.5016701817512512,0.03208399936556816,0.030658520758152008,inf,inf,0.1010250672698021,0.09705954790115356
21,0.4355369508266449,0.5020546317100525,0.03087012842297554,0.030058475211262703,inf,inf,0.09759450703859329,0.09547639638185501
22,0.4322027862071991,0.5025087594985962,0.029840361326932907,0.029762478545308113,inf,inf,0.09443594515323639,0.09413676708936691
23,0.4359946548938751,0.502041757106781,0.030987421050667763,0.02974824607372284,inf,inf,0.09800683706998825,0.09428491443395615
24,0.4324662685394287,0.5024875998497009,0.029872719198465347,0.030116595327854156,inf,inf,0.09488110989332199,0.09576637297868729
25,0.4319680333137512,0.5025627613067627,0.029757749289274216,0.030430559068918228,inf,inf,0.094575434923172,0.09594535827636719
26,0.43116721510887146,0.5025634765625,0.029544612392783165,0.02945430763065815,inf,inf,0.09380855411291122,0.09356130659580231
27,0.4302206039428711,0.5027291178703308,0.02922435849905014,0.02918948419392109,inf,inf,0.09279284626245499,0.09284712374210358
28,0.42968815565109253,0.5028079152107239,0.02904645912349224,0.02902301587164402,inf,inf,0.09211184829473495,0.0922846570611
29,0.42946481704711914,0.5028730034828186,0.028957342728972435,0.028925130143761635,inf,inf,0.09184733778238297,0.0919186919927597
30,0.4298999607563019,0.5028814077377319,0.02909361757338047,0.029002178460359573,inf,inf,0.09256689995527267,0.09239189326763153
