Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,1.2265957593917847,0.49308693408966064,0.09718156605958939,0.08993694186210632,inf,5.908149719238281,0.2145603448152542,0.20772884786128998
2,0.9809001088142395,0.4938598871231079,0.08056917041540146,0.06199391558766365,inf,inf,0.19051988422870636,0.15341465175151825
3,0.7373329401016235,0.49632519483566284,0.056802283972501755,0.05152374133467674,inf,inf,0.14437903463840485,0.13208407163619995
4,0.6566181778907776,0.49583277106285095,0.0534372441470623,0.061368346214294434,inf,inf,0.13945326209068298,0.1615799218416214
5,0.6082031726837158,0.4963880181312561,0.047637589275836945,0.04479006677865982,inf,inf,0.1275167465209961,0.12052994221448898
6,0.591529130935669,0.495904803276062,0.04941302910447121,0.04965808987617493,inf,inf,0.13376140594482422,0.13805653154850006
7,0.559806227684021,0.49626126885414124,0.04641110450029373,0.046999964863061905,inf,inf,0.12832655012607574,0.13071466982364655
8,0.5557604432106018,0.4956257939338684,0.04933702200651169,0.044803742319345474,inf,inf,0.13656744360923767,0.12465881556272507
9,0.5528481006622314,0.4958038032054901,0.050745949149131775,0.050016727298498154,inf,inf,0.14101575314998627,0.14212779700756073
10,0.5235880613327026,0.49646541476249695,0.044011782854795456,0.042121708393096924,inf,inf,0.1240864098072052,0.11922788619995117
11,0.524416983127594,0.4960096776485443,0.04572507366538048,0.04319382458925247,inf,inf,0.12756331264972687,0.12417791783809662
12,0.4966423511505127,0.49624204635620117,0.044150833040475845,0.04204977676272392,inf,inf,0.12680408358573914,0.12199638783931732
13,0.49170956015586853,0.4958774149417877,0.04571829363703728,0.04038805514574051,inf,inf,0.12888528406620026,0.11808042973279953
14,0.4918692409992218,0.49485939741134644,0.04674573242664337,0.04431527107954025,inf,inf,0.13430456817150116,0.12834511697292328
15,0.47274771332740784,0.49595460295677185,0.04136950895190239,0.038635797798633575,inf,inf,0.12057685106992722,0.11434967815876007
16,0.466052770614624,0.4967922866344452,0.04063652455806732,0.04019046202301979,inf,inf,0.11944834142923355,0.12043310701847076
17,0.4636169672012329,0.4970111846923828,0.0399082787334919,0.04243442788720131,inf,inf,0.1174897626042366,0.12740300595760345
18,0.4624425172805786,0.4977062940597534,0.03947273641824722,0.03923451155424118,inf,inf,0.11735091358423233,0.11479471623897552
19,0.45634034276008606,0.4983920753002167,0.03739773482084274,0.03724208101630211,inf,inf,0.1117350235581398,0.1118171215057373
20,0.4567349851131439,0.4990532696247101,0.037599675357341766,0.03561989963054657,inf,inf,0.11218827962875366,0.10770893096923828
21,0.4500293433666229,0.49886584281921387,0.03530469164252281,0.035048697143793106,inf,inf,0.10612093657255173,0.1058468371629715
22,0.45843926072120667,0.4965154528617859,0.03805992007255554,0.042194951325654984,inf,inf,0.11287527531385422,0.12323631346225739
23,0.45050355792045593,0.4980502724647522,0.0367121659219265,0.03472253680229187,inf,inf,0.10991314053535461,0.10486453026533127
24,0.4422037899494171,0.4990730881690979,0.034774087369441986,0.034479208290576935,inf,inf,0.10508158802986145,0.10482373833656311
25,0.4424460828304291,0.49869847297668457,0.034825630486011505,0.034165188670158386,inf,inf,0.10536149889230728,0.10327483713626862
26,0.436085045337677,0.4990982115268707,0.033995192497968674,0.0337325818836689,inf,inf,0.10304351150989532,0.1034495085477829
27,0.42827102541923523,0.49931639432907104,0.03356228023767471,0.03320414200425148,inf,inf,0.10279949009418488,0.10197363793849945
28,0.42952388525009155,0.4992465674877167,0.03390318900346756,0.03308379650115967,inf,inf,0.10401899367570877,0.10192549228668213
29,0.42610836029052734,0.49970000982284546,0.03284672647714615,0.03271185979247093,inf,inf,0.10085709393024445,0.10081952065229416
30,0.42575469613075256,0.49963486194610596,0.03272101655602455,0.03246099501848221,inf,inf,0.1007392406463623,0.10011367499828339
