Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE,CMSE,VAL_CMSE
1,0.39736664295196533,0.4880377948284149,0.052523549646139145,0.18538898229599,9.309955596923828,5.760006427764893,0.15282031893730164,0.28258243203163147,0.04950101673603058,0.18482330441474915
2,0.3442119359970093,0.49618977308273315,0.035551637411117554,0.09015347063541412,11.312021255493164,7.224118709564209,0.11353590339422226,0.19961635768413544,0.035282108932733536,0.08895070105791092
3,0.33515664935112,0.4975082576274872,0.0323212631046772,0.03630750626325607,12.1375150680542,11.187780380249023,0.10492703318595886,0.11124996840953827,0.032148897647857666,0.03613300994038582
4,0.33213740587234497,0.4982207715511322,0.031268149614334106,0.04876143857836723,12.518012046813965,14.33370304107666,0.10217048972845078,0.12406950443983078,0.031122514978051186,0.04870113357901573
5,0.32907339930534363,0.4988481402397156,0.03022075444459915,0.031051283702254295,12.854881286621094,13.84255599975586,0.09967996925115585,0.09961777925491333,0.030093759298324585,0.030961453914642334
6,0.3268640637397766,0.49932897090911865,0.029430372640490532,0.033384475857019424,13.26063060760498,14.246089935302734,0.09782113134860992,0.10303473472595215,0.029316594824194908,0.03328941762447357
7,0.32423844933509827,0.5000064373016357,0.028497714549303055,0.02934521809220314,13.583827018737793,14.165234565734863,0.09584540873765945,0.09690356999635696,0.02839341200888157,0.02925555594265461
8,0.32098791003227234,0.5007036924362183,0.02732616662979126,0.04179476201534271,13.890727043151855,inf,0.09311578422784805,0.11080662161111832,0.027235332876443863,0.04176973178982735
9,0.315769761800766,0.5015982985496521,0.02553005889058113,0.024283966049551964,14.191986083984375,14.117439270019531,0.0885576382279396,0.0866289958357811,0.025461336597800255,0.024209214374423027
10,0.3132725656032562,0.5019921064376831,0.02466563694179058,0.025309961289167404,14.30229377746582,14.362493515014648,0.08627620339393616,0.08702380955219269,0.024606801569461823,0.0252602007240057
11,0.3120273947715759,0.5021668672561646,0.02425939403474331,0.025489402934908867,14.459870338439941,15.565848350524902,0.08532679826021194,0.08664284646511078,0.024204561486840248,0.025439225137233734
12,0.3111571669578552,0.5023616552352905,0.023940904065966606,0.02385539561510086,inf,14.307205200195312,0.08452587574720383,0.0843488872051239,0.0238888468593359,0.023809051141142845
13,0.3091205060482025,0.5026912093162537,0.023261530324816704,0.022638699039816856,inf,14.743510246276855,0.08285309374332428,0.08164435625076294,0.023215044289827347,0.022591909393668175
14,0.3084627687931061,0.5027900338172913,0.023059137165546417,0.022594891488552094,inf,14.71314525604248,0.0822809487581253,0.08227933198213577,0.023015407845377922,0.022545047104358673
15,0.3081930875778198,0.5027713775634766,0.022974614053964615,0.023835239931941032,inf,15.550186157226562,0.08201245218515396,0.0830308347940445,0.02293158695101738,0.023800695315003395
16,0.3068416714668274,0.5030136704444885,0.022517038509249687,0.022766204550862312,inf,14.348974227905273,0.08084123581647873,0.08186964690685272,0.02247758023440838,0.022717170417308807
17,0.30650100111961365,0.5030890703201294,0.022410623729228973,0.022658132016658783,inf,14.150668144226074,0.08057794719934464,0.08131925016641617,0.022372225299477577,0.02261653169989586
18,0.3062572181224823,0.5031521916389465,0.02232215367257595,0.02230016514658928,inf,14.855412483215332,0.08038463443517685,0.08123088628053665,0.02228398434817791,0.0222492516040802
19,0.3055570721626282,0.5032217502593994,0.0220910906791687,0.022079085931181908,inf,14.622352600097656,0.07980187237262726,0.08044704049825668,0.02205468714237213,0.022031966596841812
20,0.3054502606391907,0.503218412399292,0.02207227237522602,0.02169913984835148,inf,14.820691108703613,0.07973924279212952,0.07904375344514847,0.022036278620362282,0.02165965549647808
21,0.30537909269332886,0.5032832026481628,0.022036947309970856,0.021838003769516945,inf,15.204977035522461,0.07968126237392426,0.07901345938444138,0.022001083940267563,0.0218061376363039
22,0.3049483001232147,0.5033978819847107,0.021885380148887634,0.02158503420650959,inf,14.917671203613281,0.079342782497406,0.07943851500749588,0.021850332617759705,0.021541090682148933
23,0.30483177304267883,0.5033307671546936,0.021852966398000717,0.02153269574046135,inf,14.995599746704102,0.07924293726682663,0.07944831252098083,0.021818136796355247,0.021492287516593933
24,0.3048120141029358,0.5033642053604126,0.021847568452358246,0.02163976989686489,inf,14.892647743225098,0.0792272537946701,0.07906608283519745,0.02181282639503479,0.021598510444164276
25,0.3043604791164398,0.503433883190155,0.02169967256486416,0.02138170599937439,inf,15.208456993103027,0.07886643707752228,0.07856855541467667,0.02166578359901905,0.02134363166987896
26,0.3044430613517761,0.5033822655677795,0.021734468638896942,0.021319663152098656,inf,15.199748039245605,0.07893259823322296,0.07821334153413773,0.021700603887438774,0.02128543332219124
27,0.30434584617614746,0.5034332275390625,0.02169792912900448,0.02129504270851612,inf,15.181846618652344,0.07885847985744476,0.0780523493885994,0.02166435867547989,0.021259864792227745
28,0.3041711449623108,0.5034518837928772,0.02164515294134617,0.0212516188621521,inf,15.262106895446777,0.07869008928537369,0.07774920016527176,0.021611951291561127,0.02121853083372116
29,0.3040556311607361,0.5034712553024292,0.02160351723432541,0.02125454694032669,inf,15.243034362792969,0.07857677340507507,0.07782639563083649,0.02157059870660305,0.02122027985751629
30,0.3041169047355652,0.5034850835800171,0.02161642722785473,0.021250303834676743,inf,15.20926570892334,0.07868245244026184,0.07779208570718765,0.021582944318652153,0.021216971799731255
