Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.928859293460846,0.4949800968170166,0.07508788257837296,0.05354130268096924,inf,inf,0.17577648162841797,0.14275409281253815
2,0.618215024471283,0.4971719980239868,0.050155770033597946,0.04196866601705551,inf,inf,0.13487321138381958,0.11825042217969894
3,0.5410951972007751,0.49817854166030884,0.042882274836301804,0.040218692272901535,inf,inf,0.12175947427749634,0.1154177263379097
4,0.5343530178070068,0.4976612627506256,0.04467415809631348,0.0384569875895977,inf,inf,0.1252094805240631,0.1119641587138176
5,0.5184413194656372,0.49827465415000916,0.04089843109250069,0.03713519871234894,inf,inf,0.11688432097434998,0.1076434776186943
6,0.5175714492797852,0.49859797954559326,0.04124794527888298,0.04447951167821884,inf,inf,0.11898083984851837,0.12615717947483063
7,0.5128960609436035,0.49757373332977295,0.042271632701158524,0.03850939869880676,inf,inf,0.12174320220947266,0.11174648255109787
8,0.49427923560142517,0.49901410937309265,0.03756990283727646,0.036382172256708145,inf,inf,0.11018761247396469,0.1079571470618248
9,0.4883648157119751,0.499982625246048,0.03631308674812317,0.03686150535941124,inf,inf,0.10705786943435669,0.1079370379447937
10,0.4881559908390045,0.4990016222000122,0.03796714171767235,0.03767968714237213,inf,inf,0.11175309121608734,0.11225077509880066
11,0.49436721205711365,0.4978736937046051,0.0406930074095726,0.036097388714551926,inf,inf,0.11860519647598267,0.10966867953538895
12,0.4790283441543579,0.4993037283420563,0.03627605736255646,0.035225000232458115,inf,inf,0.10863548517227173,0.10644245892763138
13,0.47516053915023804,0.5002893209457397,0.03497188910841942,0.03337794169783592,inf,inf,0.10533013194799423,0.10150381922721863
14,0.47097915410995483,0.5011537075042725,0.03385769575834274,0.03372450917959213,inf,inf,0.10280002653598785,0.1030539721250534
15,0.4770977795124054,0.5008642673492432,0.03568068519234657,0.036921050399541855,inf,inf,0.10741100460290909,0.11039155721664429
16,0.47586649656295776,0.4996083974838257,0.03585951402783394,0.03447122871875763,inf,inf,0.10690861940383911,0.10382096469402313
17,0.4702925384044647,0.5008209347724915,0.03381754085421562,0.034416064620018005,inf,inf,0.1017708033323288,0.10489462316036224
18,0.468329519033432,0.5013802647590637,0.0330284982919693,0.0326293408870697,inf,inf,0.10026844590902328,0.09992974251508713
19,0.4664038419723511,0.5017608404159546,0.032410215586423874,0.03212250396609306,inf,inf,0.09857804328203201,0.09795447438955307
20,0.4639737606048584,0.5018871426582336,0.032260648906230927,0.03184131160378456,inf,inf,0.09839864075183868,0.0978509783744812
21,0.45995664596557617,0.5021048188209534,0.031712863594293594,0.03156840428709984,inf,inf,0.0971764400601387,0.09702732414007187
22,0.46051034331321716,0.5020244121551514,0.03185359761118889,0.03203652799129486,inf,inf,0.09780862182378769,0.09896951168775558
23,0.4629404842853546,0.5012102127075195,0.03261435031890869,0.03181127458810806,inf,inf,0.10009337961673737,0.0981609970331192
24,0.4601532220840454,0.5020471215248108,0.03172868862748146,0.03307295963168144,inf,inf,0.09777342528104782,0.10138928145170212
25,0.4601687788963318,0.5022660493850708,0.03177409619092941,0.0314389243721962,inf,inf,0.09808745235204697,0.09693794697523117
26,0.45912888646125793,0.5023650527000427,0.03144089877605438,0.0313422754406929,inf,inf,0.09685083478689194,0.09665783494710922
27,0.4587329626083374,0.5024067759513855,0.03130635991692543,0.031283289194107056,inf,inf,0.09639572352170944,0.09649419039487839
28,0.45906397700309753,0.5023366212844849,0.03140895068645477,0.032225314527750015,inf,inf,0.09697722643613815,0.09999241679906845
29,0.45916828513145447,0.5022294521331787,0.031468573957681656,0.031296662986278534,inf,inf,0.09711714088916779,0.09657245129346848
30,0.45845913887023926,0.5024009346961975,0.03122866526246071,0.03124564327299595,inf,inf,0.09616150707006454,0.09639863669872284
