Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.8213433027267456,0.4951087534427643,0.06903945654630661,0.04998388886451721,inf,inf,0.16844192147254944,0.13179659843444824
2,0.5888397693634033,0.4971615970134735,0.04879651218652725,0.04813655838370323,inf,inf,0.13329465687274933,0.13704457879066467
3,0.5297490358352661,0.49817878007888794,0.044330812990665436,0.038917701691389084,inf,inf,0.1261102855205536,0.11324936896562576
4,0.505908727645874,0.4983518719673157,0.040842410176992416,0.04001263529062271,inf,inf,0.1186576709151268,0.11904030293226242
5,0.47309452295303345,0.499910831451416,0.03636017069220543,0.03403839096426964,inf,inf,0.10927139222621918,0.10415977239608765
6,0.4633808135986328,0.4999375343322754,0.03671785071492195,0.039621733129024506,inf,inf,0.1116204485297203,0.11819246411323547
7,0.46620041131973267,0.4982248544692993,0.04066990315914154,0.03345103561878204,inf,inf,0.12145958840847015,0.10454718768596649
8,0.4449368715286255,0.5010703206062317,0.03362913057208061,0.0320964939892292,inf,inf,0.10465216636657715,0.10129053145647049
9,0.45263567566871643,0.5002769231796265,0.0374097041785717,0.0376892015337944,inf,inf,0.11460072547197342,0.11359366774559021
10,0.4331517815589905,0.5009263157844543,0.03384046629071236,0.03156440332531929,inf,inf,0.10611553490161896,0.09998136013746262
11,0.4334305226802826,0.5009505748748779,0.033936962485313416,0.0504707396030426,inf,inf,0.10557722300291061,0.14591267704963684
12,0.44042477011680603,0.4988045394420624,0.03835492953658104,0.03368175029754639,inf,inf,0.11827657371759415,0.10625381767749786
13,0.44429126381874084,0.4981544017791748,0.0394502654671669,0.03490588068962097,inf,inf,0.11981511116027832,0.11065748333930969
14,0.42811334133148193,0.4994882345199585,0.03474503010511398,0.0362386479973793,inf,inf,0.10831174999475479,0.11040191352367401
15,0.4369010925292969,0.4992940425872803,0.03774749115109444,0.03171861916780472,inf,inf,0.11549781262874603,0.10107307136058807
16,0.42160043120384216,0.5009200572967529,0.032492879778146744,0.031719908118247986,inf,inf,0.10318586975336075,0.10158602893352509
17,0.41821804642677307,0.5012333393096924,0.03134341165423393,0.031227918341755867,inf,inf,0.10020618140697479,0.10118018835783005
18,0.4153609573841095,0.5019484162330627,0.03043189086019993,0.029466696083545685,inf,inf,0.09787583351135254,0.09473933279514313
19,0.4157562851905823,0.5019093155860901,0.030508456751704216,0.030640676617622375,inf,inf,0.09773191064596176,0.09773558378219604
20,0.41511020064353943,0.501945436000824,0.03045547567307949,0.029451249167323112,inf,inf,0.0978267639875412,0.09481817483901978
21,0.41812998056411743,0.501368522644043,0.031215276569128036,0.029299825429916382,inf,inf,0.0996466800570488,0.09450431913137436
22,0.41159796714782715,0.5025219321250916,0.02912779338657856,0.029211143031716347,inf,inf,0.09412407130002975,0.09504979848861694
23,0.41048625111579895,0.502594530582428,0.028740976005792618,0.028829626739025116,inf,inf,0.09288492053747177,0.09389155358076096
24,0.41517820954322815,0.5017947554588318,0.030377311632037163,0.0303458534181118,inf,inf,0.09766168147325516,0.09738999605178833
25,0.4126633107662201,0.50185626745224,0.029534976929426193,0.02892172522842884,inf,inf,0.09518183022737503,0.09411894530057907
26,0.41006791591644287,0.5027603507041931,0.028608063235878944,0.028427807614207268,inf,inf,0.09274804592132568,0.09209545701742172
27,0.40965208411216736,0.5027292370796204,0.028472987934947014,0.02831200510263443,inf,inf,0.09225930273532867,0.091961570084095
28,0.40873467922210693,0.5028497576713562,0.028214963153004646,0.028252480551600456,inf,inf,0.09146076440811157,0.09169240295886993
29,0.40861383080482483,0.5028253197669983,0.028189105913043022,0.028223959729075432,inf,inf,0.0914248526096344,0.09165395051240921
30,0.40861132740974426,0.5028325319290161,0.028163732960820198,0.029242711141705513,inf,inf,0.0913187563419342,0.0944560319185257
