Epoch,Loss,Accuracy,MSE,VAL_MSE,PSNR,VAL_PSNR,MAE,VAL_MAE
1,0.8583356142044067,0.4950252175331116,0.07101427018642426,0.053839489817619324,inf,inf,0.1707044243812561,0.13747979700565338
2,0.6669274568557739,0.4978780448436737,0.04905771091580391,0.04477550834417343,inf,inf,0.12791094183921814,0.11927314102649689
3,0.638439953327179,0.4973105192184448,0.050927869975566864,0.047037217766046524,inf,inf,0.13515245914459229,0.12922154366970062
4,0.5941639542579651,0.49834367632865906,0.044191908091306686,0.04097512736916542,inf,inf,0.12095393240451813,0.11316285282373428
5,0.5814110636711121,0.49938419461250305,0.043289121240377426,0.041616737842559814,inf,inf,0.1199081689119339,0.1188422441482544
6,0.5616099834442139,0.4982123374938965,0.044775888323783875,0.04150833189487457,inf,inf,0.12545645236968994,0.1191861629486084
7,0.5348314046859741,0.5004743337631226,0.03871673718094826,0.04480103403329849,inf,inf,0.11131346970796585,0.1229376271367073
8,0.5300706028938293,0.4984082877635956,0.044668376445770264,0.0390130877494812,inf,inf,0.12656883895397186,0.11552891135215759
9,0.49071815609931946,0.4997372627258301,0.03906937316060066,0.05083766579627991,inf,inf,0.11481770873069763,0.14865072071552277
10,0.4833184480667114,0.49806681275367737,0.04293916001915932,0.03774894028902054,inf,inf,0.12760597467422485,0.1143251433968544
11,0.454281210899353,0.4994821548461914,0.03707178309559822,0.0347260981798172,inf,inf,0.11320281773805618,0.10734960436820984
12,0.44136500358581543,0.5012741088867188,0.03258928656578064,0.03145551308989525,inf,inf,0.1015721783041954,0.09819791465997696
13,0.4429611563682556,0.5011078715324402,0.03319614380598068,0.03257184848189354,inf,inf,0.10341794043779373,0.10172197967767715
14,0.44030770659446716,0.5012331604957581,0.032924994826316833,0.03802988678216934,inf,inf,0.10280667990446091,0.11639267951250076
15,0.4438449442386627,0.500268816947937,0.0348355695605278,0.03230402246117592,inf,inf,0.10764976590871811,0.10267939418554306
16,0.4412868916988373,0.4999258518218994,0.03420503810048103,0.03362632915377617,inf,inf,0.10646235197782516,0.10556114464998245
17,0.4341089427471161,0.5014531016349792,0.03176457807421684,0.030496474355459213,inf,inf,0.09990793466567993,0.0963040143251419
18,0.4407213032245636,0.5009609460830688,0.03424610570073128,0.03463881462812424,inf,inf,0.10662266612052917,0.11016906797885895
19,0.43412601947784424,0.501471996307373,0.032271597534418106,0.030725624412298203,inf,inf,0.10177154093980789,0.09777911752462387
20,0.42798563838005066,0.502363383769989,0.030407754704356194,0.029821917414665222,inf,inf,0.09625653922557831,0.09470029175281525
21,0.42657333612442017,0.5023738741874695,0.029909634962677956,0.02957984432578087,inf,inf,0.09483267366886139,0.09384127706289291
22,0.4252329170703888,0.5024774074554443,0.02946688048541546,0.02936965599656105,inf,inf,0.09352662414312363,0.09352906793355942
23,0.42484909296035767,0.5027187466621399,0.0293895211070776,0.029123181477189064,inf,inf,0.09346330165863037,0.09258828312158585
24,0.42469552159309387,0.5026451349258423,0.029258180409669876,0.028996137902140617,inf,inf,0.0930851548910141,0.09248442947864532
25,0.423845499753952,0.502731204032898,0.02897780016064644,0.0292118638753891,inf,inf,0.09225522726774216,0.0935593843460083
26,0.42461830377578735,0.5028055310249329,0.029315395280718803,0.0288133192807436,inf,inf,0.09363508224487305,0.09223023802042007
27,0.42267343401908875,0.5028860569000244,0.028638431802392006,0.028626928105950356,inf,inf,0.09142258763313293,0.09160196781158447
28,0.42233172059059143,0.5029457807540894,0.028519395738840103,0.028558399528265,inf,inf,0.09103745222091675,0.09139709174633026
29,0.42316344380378723,0.5026605129241943,0.02878047525882721,0.029104996472597122,inf,inf,0.09191733598709106,0.0937402993440628
30,0.4228151738643646,0.5028890371322632,0.02868657186627388,0.028653603047132492,inf,inf,0.0919431820511818,0.09177862852811813
